"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","6月支払金額","7月繰越残高","新規サイン"
"2025/05/31","ファミリーマート","本人","1回払い","278","0","278","278","0","*"
"2025/05/31","ｱﾐｶ","本人","1回払い","1896","0","1896","1896","0","*"
"2025/05/31","ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","2381","0","2381","2381","0","*"
"2025/05/26","ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","2977","0","2977","2977","0","*"
"2025/05/26","ﾜﾂﾂ ｼｵﾀﾌﾗﾝﾃｶﾝﾃﾝ","本人","1回払い","110","0","110","110","0","*"
"2025/05/25","ﾄｳｶｲｺｳﾂｳ","本人","1回払い","1130","0","1130","1130","0","*"
"2025/05/25","JRﾄｳｶｲ(ｲﾂﾊﾟﾝｶ-ﾄﾞ","本人","1回払い","8570","0","8570","8570","0","*"
"2025/05/24","ファミリーマート","本人","1回払い","854","0","854","854","0","*"
"2025/05/24","ﾄｳｷﾖｳﾀﾜ-ﾃﾝ","本人","1回払い","420","0","420","420","0","*"
"2025/05/24","ﾀﾞｲｿ-/NFC","本人","1回払い","1318","0","1318","1318","0","*"
"2025/05/24","ﾕﾆｸﾛ/NFC","本人","1回払い","5691","0","5691","5691","0","*"
"2025/05/24","ｷﾉｸﾆﾔｼﾖﾃﾝ ｼﾝｼﾞﾕｸ","本人","1回払い","2860","0","2860","2860","0","*"
"2025/05/23","JRﾄｳｶｲ(ｲﾂﾊﾟﾝｶ-ﾄﾞ","本人","1回払い","8570","0","8570","8570","0","*"
"2025/05/22","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","890","0","890","890","0","*"
"2025/05/22","Ｓｕｉｃａチャージ（楽天ペイ）","本人","1回払い","3000","0","3000","3000","0","*"
"2025/05/20","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/05/20","中部電力　　料金　　　２５／０５","本人","1回払い","3079","0","3079","3079","0","*"
"2025/05/19","AMAZON.CO.JP","本人","1回払い","1013","0","1013","1013","0","*"
"2025/05/17","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","890","0","890","890","0","*"
"2025/05/16","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","890","0","890","890","0","*"
"2025/05/14","明石吉田屋産業","本人","1回払い","7469","0","7469","7469","0","*"
